source_id,url,referer,error,label
human_heart_panel,https://animesoku.com/archives/40626577.html,,"SSLError(MaxRetryError(""HTTPSConnectionPool(host='animesoku.com', port=443): Max retries exceeded with url: /archives/40626577.html (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1010)')))""))",人の心とかないんか？ 実漫画パネル
onepiece_ship_oriro_collage,https://wazzelife.com/wp-content/uploads/2022/08/FLT9eReaUAAfN3U.jpg.webp,,RuntimeError('HTML instead of media'),お前もう船降りろ 実コラ
fukumaru_meme_source_00027,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-120x68.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00028,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-320x180.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00023,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-160x90.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00029,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-376x212.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00024,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-300x169.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00025,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-1024x576.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00026,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？-768x432.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source_00030,https://joho.o-yake.com/wp-content/uploads/2025/09/イリーナ・ザルツカIryna-Zarutskaさんの事件動画とは何か？元動画は？電車内でウクライナ難民女性を襲った男、「犯行映像」が拡散…犯人の「驚くべき言い分」とは？.png,https://joho.o-yake.com/usameme/,"OSError(36, 'File name too long')",僕の勝ちだ お前の負けだ 福丸ミーム実例
fukumaru_meme_source2_00054,https://slangverse.jp/wp-content/uploads/2024/12/よくある質問,https://slangverse.jp/fukumaru-meme-original-source/,RuntimeError('HTTP 404'),福丸ミーム元ネタ・実例
